"Name","State","Notes","User","Tags","Created","Runtime","Sweep","captioner.model","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","project","proposer.method","proposer.model","proposer.num_hypotheses","proposer.num_rounds","proposer.num_samples","proposer.prompt","proposer.sampling_method","ranker.classify_threshold","ranker.clip_dataset","ranker.clip_model","ranker.max_num_samples","ranker.method","seed","wandb","llm_usage/completion_tokens","llm_usage/prompt_tokens","llm_usage/total_api_calls","llm_usage/total_tokens","time/propose_runtime_minutes","time/propose_runtime_seconds","time/rank_runtime_minutes","time/rank_runtime_seconds","time/total_runtime_minutes","time/total_runtime_seconds"
"PairedImageSets","finished","-","","","2026-03-27T03:54:20.000Z","110","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/29_hard.yaml","Children reading comic books","Children reading fairy tales","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","222","3204","3","3426","1.263948130607605","75.8368878364563","0.5248243848482768","31.489463090896606","1.7887792309125266","107.3267538547516"
"PairedImageSets","finished","-","","","2026-03-27T03:52:26.000Z","109","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/28_hard.yaml","Diesel trucks on a highway","Electric trucks on a highway","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","261","3146","3","3407","1.2361862142880755","74.17117285728455","0.5144338329633077","30.866029977798465","1.7506296157836914","105.03777694702148"
"PairedImageSets","finished","-","","","2026-03-27T03:50:20.000Z","121","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/27_hard.yaml","Women wearing ankle boots","Women wearing knee-high boots","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","238","3425","3","3663","1.4196619987487793","85.17971992492676","0.5215319077173869","31.291914463043213","1.941205334663391","116.47232007980348"
"PairedImageSets","finished","-","","","2026-03-27T03:48:34.000Z","101","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/26_hard.yaml","Passenger planes in the sky","Cargo planes in the sky","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","237","3103","3","3340","1.1117775281270346","66.70665168762207","0.5156157771746318","30.936946630477905","1.6274017016092936","97.64410209655762"
"PairedImageSets","finished","-","","","2026-03-27T03:46:30.000Z","119","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/25_hard.yaml","Men wearing fedoras","Men wearing baseball caps","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","246","3265","3","3511","1.403960112730662","84.23760676383972","0.5152659893035889","30.915959358215332","1.91923436721166","115.15406203269958"
"PairedImageSets","finished","-","","","2026-03-27T03:44:38.000Z","107","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/24_hard.yaml","People playing classical violin","People playing fiddle","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","277","3136","3","3413","1.214126137892405","72.84756827354431","0.524316422144572","31.458985328674316","1.7384508808453878","104.30705285072328"
"PairedImageSets","finished","-","","","2026-03-27T03:42:52.000Z","101","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/23_hard.yaml","Tennis shoes on a rack","Running shoes on a rack","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","246","3071","3","3317","1.1086061040560404","66.51636624336243","0.516431701183319","30.985902070999146","1.6250460267066955","97.50276160240172"
"PairedImageSets","finished","-","","","2026-03-27T03:40:56.000Z","111","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/22_hard.yaml","Oak trees in summer","Oak trees in autumn","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","238","3148","3","3386","1.257063663005829","75.42381978034973","0.5147711118062337","30.886266708374023","1.771842396259308","106.31054377555849"
"PairedImageSets","finished","-","","","2026-03-27T03:39:10.000Z","102","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/21_hard.yaml","Butterflies with spotted wings","Butterflies with striped wings","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","302","2966","3","3268","1.1137346943219504","66.82408165931702","0.5175095597902933","31.050573587417603","1.631255535284678","97.87533211708067"
"PairedImageSets","finished","-","","","2026-03-27T03:37:10.000Z","116","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/20_hard.yaml","Men wearing suits","Men wearing tuxedos","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","251","3205","3","3456","1.3597787022590635","81.58672213554382","0.5186192154884338","31.11715292930603","1.8784060915311176","112.70436549186708"
