"Name","Group A/acc@1","Group B/acc@1","Group A/acc@5","Group B/acc@5","Group A/acc@N","Group B/acc@N","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","captioner.agg_knowledge_bank_filepath","captioner.knowledge_bank_filepath","captioner.method","captioner.model","captioner.num_rounds","captioner.num_samples","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","inv_diff.clip_model","inv_diff.inverse_cca.ktype","inv_diff.inverse_cca.type","inv_diff.knowledge_bank_filepath","inv_diff.method","project","seed","wandb","State"
"PairedImageSets","1","0.5","1","0.5","1","0.5","-","","","2026-01-11T06:55:34.000Z","51","","bpwedrap","Classic movies in black and white - Classic movies in Technicolor (1.0)","","2026-01-11T06:56:25.000Z","2026-01-11T06:56:25.000Z","260e504cb1f7","","f4180696296a7fdcac96ce5cf5d3c48eab85d631","https://github.com/neeleshbisht99/InvDiff/tree/f4180696296a7fdcac96ce5cf5d3c48eab85d631","8","NVIDIA GeForce RTX 3090","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/99_medium.yaml","Classic movies in black and white","Classic movies in Technicolor","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","linear","kcca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","finished"
"PairedImageSets","0.5","1","1","1","1","1","-","","","2026-01-11T06:54:01.000Z","79","","eky0p1wd","Wild horses in American plains - Wild zebras in African savannahs (1.0)","","2026-01-11T06:55:20.000Z","2026-01-11T06:55:20.000Z","260e504cb1f7","","f4180696296a7fdcac96ce5cf5d3c48eab85d631","https://github.com/neeleshbisht99/InvDiff/tree/f4180696296a7fdcac96ce5cf5d3c48eab85d631","8","NVIDIA GeForce RTX 3090","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/98_medium.yaml","Wild horses in American plains","Wild zebras in African savannahs","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","linear","kcca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","finished"
"PairedImageSets","1","0.5","1","1","1","1","-","","","2026-01-11T06:51:28.000Z","126","","quewkk2c","Dishes from Thai cuisine - Dishes from Vietnamese cuisine (1.0)","","2026-01-11T06:53:34.000Z","2026-01-11T06:53:34.000Z","260e504cb1f7","","f4180696296a7fdcac96ce5cf5d3c48eab85d631","https://github.com/neeleshbisht99/InvDiff/tree/f4180696296a7fdcac96ce5cf5d3c48eab85d631","8","NVIDIA GeForce RTX 3090","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/97_medium.yaml","Dishes from Thai cuisine","Dishes from Vietnamese cuisine","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","linear","kcca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","finished"
"PairedImageSets","1","1","1","1","1","1","-","","","2026-01-11T06:50:31.000Z","34","","l12nt57l","Fruits arranged in a still life setting - Flowers arranged in a still life setting (1.0)","","2026-01-11T06:51:05.000Z","2026-01-11T06:51:05.000Z","260e504cb1f7","","f4180696296a7fdcac96ce5cf5d3c48eab85d631","https://github.com/neeleshbisht99/InvDiff/tree/f4180696296a7fdcac96ce5cf5d3c48eab85d631","8","NVIDIA GeForce RTX 3090","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/96_medium.yaml","Fruits arranged in a still life setting","Flowers arranged in a still life setting","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","linear","kcca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","finished"
"PairedImageSets","1","0.5","1","1","1","1","-","","","2026-01-11T06:49:30.000Z","51","","4a6io807","Seascapes during a storm - Seascapes during a calm day (1.0)","","2026-01-11T06:50:21.000Z","2026-01-11T06:50:21.000Z","260e504cb1f7","","f4180696296a7fdcac96ce5cf5d3c48eab85d631","https://github.com/neeleshbisht99/InvDiff/tree/f4180696296a7fdcac96ce5cf5d3c48eab85d631","8","NVIDIA GeForce RTX 3090","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/95_medium.yaml","Seascapes during a storm","Seascapes during a calm day","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","linear","kcca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","finished"
"PairedImageSets","0","0","0.5","0.5","0.5","0.5","-","","","2026-01-11T06:47:15.000Z","110","","wod8ka9q","Cars from the 1960s - Cars from the 1980s (1.0)","","2026-01-11T06:49:05.000Z","2026-01-11T06:49:05.000Z","260e504cb1f7","","f4180696296a7fdcac96ce5cf5d3c48eab85d631","https://github.com/neeleshbisht99/InvDiff/tree/f4180696296a7fdcac96ce5cf5d3c48eab85d631","8","NVIDIA GeForce RTX 3090","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/94_medium.yaml","Cars from the 1960s","Cars from the 1980s","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","linear","kcca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","finished"
"PairedImageSets","1","1","1","1","1","1","-","","","2026-01-11T06:44:28.000Z","141","","zjcr4ea5","Rivers in tropical rainforests - Rivers in alpine meadows (1.0)","","2026-01-11T06:46:49.000Z","2026-01-11T06:46:49.000Z","260e504cb1f7","","f4180696296a7fdcac96ce5cf5d3c48eab85d631","https://github.com/neeleshbisht99/InvDiff/tree/f4180696296a7fdcac96ce5cf5d3c48eab85d631","8","NVIDIA GeForce RTX 3090","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/93_medium.yaml","Rivers in tropical rainforests","Rivers in alpine meadows","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","linear","kcca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","finished"
"PairedImageSets","0.5","0.5","0.5","0.5","0.5","0.5","-","","","2026-01-11T06:41:27.000Z","171","","d12qpbe6","Candies made from dark chocolate - Candies made from milk chocolate (1.0)","","2026-01-11T06:44:18.000Z","2026-01-11T06:44:18.000Z","260e504cb1f7","","f4180696296a7fdcac96ce5cf5d3c48eab85d631","https://github.com/neeleshbisht99/InvDiff/tree/f4180696296a7fdcac96ce5cf5d3c48eab85d631","8","NVIDIA GeForce RTX 3090","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/92_medium.yaml","Candies made from dark chocolate","Candies made from milk chocolate","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","linear","kcca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","finished"
"PairedImageSets","0.5","0.5","0.5","0.5","0.5","0.5","-","","","2026-01-11T06:40:26.000Z","35","","9nf6f0pi","Abstract oil paintings with warm colors - Abstract oil paintings with cool colors (1.0)","","2026-01-11T06:41:01.000Z","2026-01-11T06:41:01.000Z","260e504cb1f7","","f4180696296a7fdcac96ce5cf5d3c48eab85d631","https://github.com/neeleshbisht99/InvDiff/tree/f4180696296a7fdcac96ce5cf5d3c48eab85d631","8","NVIDIA GeForce RTX 3090","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/91_medium.yaml","Abstract oil paintings with warm colors","Abstract oil paintings with cool colors","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","linear","kcca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","finished"
"PairedImageSets","1","0.5","1","0.5","1","0.5","-","","","2026-01-11T06:39:43.000Z","35","","t06t511k","People dancing tango - People dancing waltz (1.0)","","2026-01-11T06:40:18.000Z","2026-01-11T06:40:18.000Z","260e504cb1f7","","f4180696296a7fdcac96ce5cf5d3c48eab85d631","https://github.com/neeleshbisht99/InvDiff/tree/f4180696296a7fdcac96ce5cf5d3c48eab85d631","8","NVIDIA GeForce RTX 3090","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/90_medium.yaml","People dancing tango","People dancing waltz","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","linear","kcca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","finished"
