"Name","State","Notes","User","Tags","Created","Runtime","Sweep","captioner.model","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","project","proposer.method","proposer.model","proposer.num_hypotheses","proposer.num_rounds","proposer.num_samples","proposer.prompt","proposer.sampling_method","ranker.classify_threshold","ranker.clip_dataset","ranker.clip_model","ranker.max_num_samples","ranker.method","seed","wandb","acc@1","acc@5","acc@N","top_1_difference","top_1_score","top_2_difference","top_2_score","top_3_difference","top_3_score","top_4_difference","top_4_score","top_5_difference","top_5_score"
"PairedImageSets","finished","-","","","2026-03-26T14:30:17.000Z","148","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/9_easy.yaml","People skiing on a slope","People snowboarding on a slope","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","1","1","1","Large groups of skiers","0.8911","Ski poles in use","0.8775999999999999","Activities involving ski poles","0.8734","Ski lift facilities","0.8661","Skiing during daytime","0.8495999999999999"
"PairedImageSets","finished","-","","","2026-03-26T14:28:19.000Z","113","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/8_easy.yaml","Tulips in a garden","Roses in a garden","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","1","1","1","Tulips flowers in the images","1","Tulips in variety of colors","1","Tulips arranged in patterns","1","Tulips in front of houses","1","Tulips as the main subject","1"
"PairedImageSets","finished","-","","","2026-03-26T14:25:21.000Z","116","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/7_easy.yaml","Boats in a marina","Cars in a parking lot","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","1","1","1","water bodies such as marinas and harbors","1","Boats in a sunny day","0.9999","Motor yacht in water","0.9998","yachts and sailboats","0.9998","Sailboats in the water","0.9996"
"PairedImageSets","finished","-","","","2026-03-26T14:23:18.000Z","118","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/6_easy.yaml","Birds flying in the sky","Airplanes flying in the sky","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0.5","1","1","Images featuring birds","0.9993","Presence of birds","0.9972","Birds in flight","0.9972","Birds with catch in the beak","0.9972","seagulls in flight","0.9944"
"PairedImageSets","finished","-","","","2026-03-26T14:21:08.000Z","126","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/5_easy.yaml","Elephants in the savannah","Giraffes in the savannah","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0.5","1","1","Black and white elephant images","1","Elephants with tusks","0.9997","Elephants with tusks","0.9997","Elephant near a waterhole","0.9987","Elephant with her baby","0.9975"
"PairedImageSets","finished","-","","","2026-03-26T14:18:10.000Z","118","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/4_easy.yaml","People shopping in a mall","People dining in a restaurant","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","1","1","1","Shopping malls","1","People carrying shopping bags","1","images of shopping malls","1","busy shopping mall","1","interaction with mall display","1"
"PairedImageSets","finished","-","","","2026-03-26T14:16:16.000Z","109","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/3_easy.yaml","Butterflies on flowers","Bees on flowers","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0.5","1","1","Butterflies in grass","1","Blue butterflies","1","Women interacting with butterflies","1","varied colors of butterflies","1","blue butterfly","1"
"PairedImageSets","finished","-","","","2026-03-26T14:13:29.000Z","119","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/2_easy.yaml","Snow-covered mountains","Desert sand dunes","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","1","1","1","alpine regions","1","Alpine sceneries","1"," snow capped peaks","0.9997","Forested areas with snow","0.999","snow covered landscapes","0.9923"
"PairedImageSets","finished","-","","","2026-03-26T14:10:42.000Z","157","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/1_easy.yaml","Children playing soccer","Children swimming in a pool","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","1","1","1","kicking a ball","1","soccer on a field","1","goal on a soccer field","1","running kids in a field","1","children playing on a field","1"
"PairedImageSets","finished","-","","","2026-03-26T14:08:40.000Z","118","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/0_easy.yaml","Dogs playing in a park","Cats playing in a park","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0","1","1","American breeds such as labradors or collies in action","0.9934","Dog-centered play in fenced in areas","0.991","Showcased dog behavior like running or jumping","0.9853","Images taken in a dog park","0.9846","Different breeds of dogs","0.9844"
"PairedImageSets","finished","-","","","2026-03-26T15:15:16.000Z","137","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/29_hard.yaml","Children reading comic books","Children reading fairy tales","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","1","1","1","Images depicting reading comics or magazines","0.9462","Comic books","0.9175","Presence of comic books","0.9079","Reading in a store","0.8701","Images showing a person holding a book or comic in a store","0.8297000000000001"
"PairedImageSets","finished","-","","","2026-03-26T15:13:03.000Z","127","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/28_hard.yaml","Diesel trucks on a highway","Electric trucks on a highway","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0","0.5","0.5","Trucks on dirt roads","0.9355","Truck images during sunset","0.8891","Truck at a drag race","0.8837999999999999","Truck in dirt areas","0.8411","Chevrolet Silverado trucks","0.8405"
"PairedImageSets","finished","-","","","2026-03-26T15:10:48.000Z","129","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/27_hard.yaml","Women wearing ankle boots","Women wearing knee-high boots","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0","0.5","0.5","plane flying in the sky","0.77265","Woman in a casual outfit on the street","0.73745","Women standing on a sidewalk or road","0.70775","female subjects crossing the street","0.6813500000000001","Bright colored outfits","0.67825"
"PairedImageSets","finished","-","","","2026-03-26T15:08:43.000Z","120","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/26_hard.yaml","Passenger planes in the sky","Cargo planes in the sky","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0.5","0.5","0.5","Blue sky with clouds as background for airplane flights","0.8144","Aircraft flying over clouds","0.8115000000000001","An airplane seen from a window perspective","0.8112","Airplanes flying over natural landscapes","0.8108","Stock photos of airplanes in flight","0.806"
"PairedImageSets","finished","-","","","2026-03-26T15:06:33.000Z","124","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/25_hard.yaml","Men wearing fedoras","Men wearing baseball caps","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0.5","1","1","man in a suit and hat","0.9324","Wearing fedora hats","0.9034","Men wearing fedora hats","0.8975","man wearing a fedora hat","0.8736","man wearing a hat and tie","0.8579000000000001"
"PairedImageSets","finished","-","","","2026-03-26T15:04:28.000Z","118","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/24_hard.yaml","People playing classical violin","People playing fiddle","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0.5","1","1","performances in concert halls","0.9166","Performances in a concert setting","0.8994000000000001","Violin playing in a concert hall","0.8887","Violin playing in orchestra","0.8881999999999999","orchestra arrangements","0.8701"
"PairedImageSets","finished","-","","","2026-03-26T15:02:28.000Z","114","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/23_hard.yaml","Tennis shoes on a rack","Running shoes on a rack","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0","0.5","0.5","Tennis shoes and tennis balls on a tennis court","0.6820499999999999","Sports shoes","0.67275","A pair of Adidas running shoes sitting on top of a concrete wall","0.6582499999999999","Nike Air Huarache shoes","0.65795","White and grey shoes","0.6567500000000001"
"PairedImageSets","finished","-","","","2026-03-26T15:00:22.000Z","121","","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/22_hard.yaml","Oak trees in summer","Oak trees in autumn","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","1","1","1","Green and lush nature scenes","0.9571","Green landscape","0.944","Green grassy fields with sparse tree presence","0.9368","Forests with dense green foliage","0.9356","Images dominated by shades of green","0.9294"
